date,cash_value,stock_value,total_value,deposit_withdrawal,simple_returns,cum_return,equity_index
2017-06-15,-102.99,0.0,-102.99,0.0,0.0,0.0,
2017-06-16,-102.99,0.0,-102.99,0.0,0.0,0.0,
2017-06-17,-183.97,50.5123493600288,-133.4576506399712,0.0,0.0,0.0,
2017-06-18,-183.97,50.5123493600288,-133.4576506399712,0.0,0.0,0.0,
2017-06-19,-183.97,50.5629115,-133.4070885,0.0,0.0,0.0,
2017-06-20,-223.96,50.98763810493087,-172.97236189506913,0.0,0.0,0.0,
2017-06-21,-150.68,0.06154548535765667,-150.61845451464234,0.0,0.0,0.0,
2017-06-22,-200.67000000000002,52.07643092749999,-148.59356907250003,0.0,0.0,0.0,
2017-06-23,-200.67000000000002,52.476623563495934,-148.19337643650408,0.0,0.0,0.0,
2017-06-24,-200.67000000000002,52.476623563495934,-148.19337643650408,0.0,0.0,0.0,
2017-06-25,-27.340000000000032,52.476623563495934,25.136623563495903,0.0,0.0,0.0,1.0
2017-06-28,-149.29000000000002,51.91999816894531,-97.37000183105471,0.0,-4.873630902937103,0.0,
2017-06-29,-31.340000000000018,51.91999816894531,20.579998168945295,0.0,0.0,0.0,1.0
2017-07-03,-240.82,52.650001525878906,-188.1699984741211,0.0,-10.143343790868986,0.0,
2017-07-04,-168.20999999999998,52.650001525878906,-115.55999847412107,0.0,0.0,0.0,
2017-07-05,-189.7,51.439998626708984,-138.260001373291,0.0,0.0,0.0,
2017-07-06,-189.7,50.459999084472656,-139.24000091552733,0.0,0.0,0.0,
2017-07-07,-50.00999999999999,50.459999084472656,0.44999908447266534,0.0,0.0,0.0,1.0
2017-07-11,-262.15999999999997,0.0,-262.15999999999997,0.0,-583.5789630377005,0.0,
2017-07-12,-262.15999999999997,0.0,-262.15999999999997,0.0,0.0,0.0,
2017-07-13,-262.15999999999997,0.0,-262.15999999999997,0.0,0.0,0.0,
2017-07-14,-262.15999999999997,0.0,-262.15999999999997,0.0,0.0,0.0,
2017-07-15,-262.15999999999997,0.0,-262.15999999999997,0.0,0.0,0.0,
2017-07-16,-262.15999999999997,0.0,-262.15999999999997,0.0,0.0,0.0,
2017-07-17,-306.34999999999997,51.099998474121094,-255.25000152587887,0.0,0.0,0.0,
2017-07-18,-521.64,51.16999816894531,-470.4700018310547,0.0,0.0,0.0,
2017-07-19,-521.64,51.22999954223633,-470.41000045776366,0.0,0.0,0.0,
2017-07-20,-32.31999999999999,51.22999954223633,18.909999542236335,0.0,0.0,0.0,1.0
2017-07-21,-136.31,0.0,-136.31,0.0,-8.208355542026613,0.0,
2017-07-22,-236.14,0.0,-236.14,0.0,0.0,0.0,
2017-07-23,-512.3199999999999,0.0,-512.3199999999999,0.0,0.0,0.0,
2017-07-24,-512.3199999999999,0.0,-512.3199999999999,0.0,0.0,0.0,
2017-07-25,-512.3199999999999,0.0,-512.3199999999999,0.0,0.0,0.0,
